cell,latitude,longitude,route_name,waypoint_id
8,59.10743148,5.46457765,Cruise_Stavanger_Skudefjorden_In_20210212,2
4,59.10442634,5.50323349,Cruise_Stavanger_Skudefjorden_In_20210212,3
0,59.10442634,5.50323349,Cruise_Stavanger_Skudefjorden_In_20210212,3
1,59.10442634,5.50323349,Cruise_Stavanger_Skudefjorden_In_20210212,3
2,59.10442634,5.50323349,Cruise_Stavanger_Skudefjorden_In_20210212,3
3,59.10442634,5.50323349,Cruise_Stavanger_Skudefjorden_In_20210212,3
5,59.10442634,5.50323349,Cruise_Stavanger_Skudefjorden_In_20210212,3
6,59.10442634,5.50323349,Cruise_Stavanger_Skudefjorden_In_20210212,3
7,59.10442634,5.50323349,Cruise_Stavanger_Skudefjorden_In_20210212,3
8,59.10442634,5.50323349,Cruise_Stavanger_Skudefjorden_In_20210212,3
7,59.04567584,5.58379716,Cruise_Stavanger_Skudefjorden_In_20210212,4
3,59.04567584,5.58379716,Cruise_Stavanger_Skudefjorden_In_20210212,4
4,59.04567584,5.58379716,Cruise_Stavanger_Skudefjorden_In_20210212,4
5,59.04567584,5.58379716,Cruise_Stavanger_Skudefjorden_In_20210212,4
6,59.04567584,5.58379716,Cruise_Stavanger_Skudefjorden_In_20210212,4
8,59.04567584,5.58379716,Cruise_Stavanger_Skudefjorden_In_20210212,4
7,59.02928999,5.62065085,Cruise_Stavanger_Skudefjorden_In_20210212,5
3,59.02928999,5.62065085,Cruise_Stavanger_Skudefjorden_In_20210212,5
4,59.02928999,5.62065085,Cruise_Stavanger_Skudefjorden_In_20210212,5
5,59.02928999,5.62065085,Cruise_Stavanger_Skudefjorden_In_20210212,5
6,59.02928999,5.62065085,Cruise_Stavanger_Skudefjorden_In_20210212,5
8,59.02928999,5.62065085,Cruise_Stavanger_Skudefjorden_In_20210212,5
6,59.00260332,5.68410413,Cruise_Stavanger_Skudefjorden_In_20210212,6
3,59.00260332,5.68410413,Cruise_Stavanger_Skudefjorden_In_20210212,6
4,59.00260332,5.68410413,Cruise_Stavanger_Skudefjorden_In_20210212,6
7,59.00260332,5.68410413,Cruise_Stavanger_Skudefjorden_In_20210212,6
6,58.98633333,5.71132956,Cruise_Stavanger_Skudefjorden_In_20210212,7
3,58.98633333,5.71132956,Cruise_Stavanger_Skudefjorden_In_20210212,7
4,58.98633333,5.71132956,Cruise_Stavanger_Skudefjorden_In_20210212,7
7,58.98633333,5.71132956,Cruise_Stavanger_Skudefjorden_In_20210212,7
6,58.97757596,5.72596554,Cruise_Stavanger_Skudefjorden_In_20210212,8
3,58.97757596,5.72596554,Cruise_Stavanger_Skudefjorden_In_20210212,8
